Rank,Artist,Song Title
1,Lady Gaga,Die With A Smile (w/ Bruno Mars)
2,Alex Warren,Ordinary
3,Billie Eilish,BIRDS OF A FEATHER
4,ROSÉ,APT. (w/ Bruno Mars)
5,Kendrick Lamar,luther
6,JENNIE,like JENNIE
7,Gracie Abrams,That’s So True
8,Gigi Perez,Sailor Song
9,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
10,Bad Bunny,DtMF
11,Benson Boone,Beautiful Things
12,Lola Young,Messy
13,Billie Eilish,WILDFLOWER
14,Sabrina Carpenter,Espresso
15,Doechii,Anxiety
16,Jimin,Who
17,Alemán,Te Quería Ver (w/ Neton Vega)
18,Lady Gaga,Abracadabra
19,NIKI,You'll Be in My Heart - Spotify Singles
20,The Weeknd,Timeless (w/ Playboi Carti)
21,Bad Bunny,BAILE INoLVIDABLE
22,Drake,NOKIA
23,Tate McRae,Sports car
24,sombr,back to friends
25,The Weeknd,"One Of The Girls (w/ JENNIE, Lily-Rose Depp)"
26,WizTheMc,Show Me Love (w/ bees & honey)
27,Chappell Roan,"Good Luck, Babe!"
28,Cup of Joe,Multo
29,Kendrick Lamar,All The Stars (w/ SZA)
30,Kendrick Lamar,Not Like Us
31,Teddy Swims,Lose Control
32,Neton Vega,Morena (w/ Peso Pluma)
33,Jombriel,"VITAMINA (w/ DFZM, Jøtta)"
34,Bad Bunny,EoO
35,The Marías,No One Noticed
36,Chappell Roan,Pink Pony Club
37,The Goo Goo Dolls,Iris
38,Arctic Monkeys,I Wanna Be Yours
39,Sabrina Carpenter,Taste
40,Lord Huron,The Night We Met
41,Alleh,capaz (merengueton) (w/ Yorghaki)
42,KAROL G,Si Antes Te Hubiera Conocido
43,ATLXS,PASSO BEM SOLTO - Slowed
44,The Neighbourhood,Sweater Weather
45,Coldplay,Yellow
46,sombr,undressed
47,yung kai,blue
48,Fuerza Regida,ME JALO (w/ Grupo Frontera)
49,The Police,Every Breath You Take
50,Kendrick Lamar,tv off (w/ Lefty Gunplay)
51,FloyyMenor,Gata Only (w/ Cris Mj)
52,"Tyler, The Creator",See You Again (w/ Kali Uchis)
53,Teddy Swims,Bad Dreams
54,Hozier,Too Sweet
55,Sabrina Carpenter,Please Please Please
56,Bad Bunny,"VeLDÁ (w/ Omar Courtz, Dei V)"
57,Tito Double P,TATTOO
58,Fuerza Regida,Por Esos Ojos
59,Ravyn Lenae,Love Me Not
60,d4vd,Feel It
61,Neton Vega,M&M
62,Neton Vega,Loco
63,Coldplay,Viva La Vida
64,Bad Bunny,VOY A LLeVARTE PA PR
65,Bad Bunny,NUEVAYoL
66,Ariana Grande,we can't be friends (wait for your love)
67,Lil Tecca,Dark Thoughts
68,Tate McRae,Revolving door
69,Beéle,Mi Refe (w/ Ovy On The Drums)
70,Arctic Monkeys,505
